in s,C1 in V,C2 in V
-6.00000E-02,8.64898E+00,1.52148E+01
-5.99988E-02,8.72711E+00,1.51758E+01
-5.99976E-02,8.64898E+00,1.52930E+01
-5.99964E-02,8.68805E+00,1.52930E+01
-5.99952E-02,8.62945E+00,1.52539E+01
-5.99940E-02,8.62945E+00,1.52930E+01
-5.99928E-02,8.60992E+00,1.53711E+01
-5.99916E-02,8.68805E+00,1.53711E+01
-5.99904E-02,8.68805E+00,1.53711E+01
-5.99892E-02,8.66852E+00,1.51758E+01
-5.99880E-02,8.64898E+00,1.52148E+01
-5.99868E-02,8.74664E+00,1.53320E+01
-5.99856E-02,8.64898E+00,1.52930E+01
-5.99844E-02,8.64898E+00,1.52930E+01
-5.99832E-02,8.64898E+00,1.52148E+01
-5.99820E-02,8.64898E+00,1.52539E+01
-5.99808E-02,8.66852E+00,1.52930E+01
-5.99796E-02,8.59039E+00,1.52539E+01
-5.99784E-02,8.70758E+00,1.52539E+01
-5.99772E-02,8.74664E+00,1.52539E+01
-5.99760E-02,8.74664E+00,1.52930E+01
-5.99748E-02,8.66852E+00,1.52539E+01
-5.99736E-02,8.70758E+00,1.53320E+01
-5.99724E-02,8.68805E+00,1.52930E+01
-5.99712E-02,8.70758E+00,1.53320E+01
-5.99700E-02,8.72711E+00,1.53711E+01
-5.99688E-02,8.64898E+00,1.54102E+01
-5.99676E-02,8.59039E+00,1.52930E+01
-5.99664E-02,8.70758E+00,1.53320E+01
-5.99652E-02,8.64898E+00,1.52930E+01
-5.99640E-02,8.72711E+00,1.53320E+01
-5.99628E-02,8.66852E+00,1.51758E+01
-5.99616E-02,8.64898E+00,1.52930E+01
-5.99604E-02,8.64898E+00,1.53320E+01
-5.99592E-02,8.64898E+00,1.53320E+01
-5.99580E-02,8.64898E+00,1.54102E+01
-5.99568E-02,8.64898E+00,1.52930E+01
-5.99556E-02,8.68805E+00,1.53320E+01
-5.99544E-02,8.72711E+00,1.53711E+01
-5.99532E-02,8.64898E+00,1.52930E+01
-5.99520E-02,8.64898E+00,1.54102E+01
-5.99508E-02,8.68805E+00,1.52930E+01
-5.99496E-02,8.68805E+00,1.53320E+01
-5.99484E-02,8.68805E+00,1.52930E+01
-5.99472E-02,8.70758E+00,1.52930E+01
-5.99460E-02,8.59039E+00,1.53320E+01
-5.99448E-02,8.70758E+00,1.53711E+01
-5.99436E-02,8.70758E+00,1.52930E+01
-5.99424E-02,8.68805E+00,1.54102E+01
-5.99412E-02,8.66852E+00,1.52930E+01
-5.99400E-02,8.68805E+00,1.53320E+01
-5.99388E-02,8.74664E+00,1.52148E+01
-5.99376E-02,8.68805E+00,1.53711E+01
-5.99364E-02,8.64898E+00,1.54102E+01
-5.99352E-02,8.74664E+00,1.53711E+01
-5.99340E-02,8.66852E+00,1.54102E+01
-5.99328E-02,8.70758E+00,1.52930E+01
-5.99316E-02,8.72711E+00,1.52930E+01
-5.99304E-02,8.70758E+00,1.53320E+01
-5.99292E-02,8.68805E+00,1.52539E+01
-5.99280E-02,8.72711E+00,1.52930E+01
-5.99268E-02,8.64898E+00,1.53711E+01
-5.99256E-02,8.70758E+00,1.53711E+01
-5.99244E-02,8.64898E+00,1.52930E+01
-5.99232E-02,8.72711E+00,1.53320E+01
-5.99220E-02,8.66852E+00,1.52539E+01
-5.99208E-02,8.66852E+00,1.53711E+01
-5.99196E-02,8.66852E+00,1.52930E+01
-5.99184E-02,8.74664E+00,1.53320E+01
-5.99172E-02,8.64898E+00,1.53320E+01
-5.99160E-02,8.70758E+00,1.54102E+01
-5.99148E-02,8.70758E+00,1.53320E+01
-5.99136E-02,8.68805E+00,1.53711E+01
-5.99124E-02,8.68805E+00,1.53320E+01
-5.99112E-02,8.66852E+00,1.53320E+01
-5.99100E-02,8.66852E+00,1.54102E+01
-5.99088E-02,8.72711E+00,1.53711E+01
-5.99076E-02,8.72711E+00,1.53320E+01
-5.99064E-02,8.70758E+00,1.52930E+01
-5.99052E-02,8.72711E+00,1.53320E+01
-5.99040E-02,8.78570E+00,1.53711E+01
-5.99028E-02,8.70758E+00,1.53711E+01
-5.99016E-02,8.66852E+00,1.52930E+01
-5.99004E-02,8.72711E+00,1.53711E+01
-5.98992E-02,8.66852E+00,1.53711E+01
-5.98980E-02,8.70758E+00,1.54102E+01
-5.98968E-02,8.66852E+00,1.53711E+01
-5.98956E-02,8.72711E+00,1.54102E+01
-5.98944E-02,8.70758E+00,1.54102E+01
-5.98932E-02,8.68805E+00,1.53711E+01
-5.98920E-02,8.72711E+00,1.54492E+01
-5.98908E-02,8.72711E+00,1.54102E+01
-5.98896E-02,8.70758E+00,1.53711E+01
-5.98884E-02,8.64898E+00,1.54492E+01
-5.98872E-02,8.70758E+00,1.53320E+01
-5.98860E-02,8.80523E+00,1.53711E+01
-5.98848E-02,8.70758E+00,1.53320E+01
-5.98836E-02,8.66852E+00,1.52930E+01
-5.98824E-02,8.70758E+00,1.53711E+01
-5.98812E-02,8.72711E+00,1.53711E+01
-5.98800E-02,8.68805E+00,1.54102E+01
-5.98788E-02,8.70758E+00,1.54102E+01
-5.98776E-02,8.78570E+00,1.54102E+01
-5.98764E-02,8.70758E+00,1.54492E+01
-5.98752E-02,8.76617E+00,1.54102E+01
-5.98740E-02,8.66852E+00,1.54492E+01
-5.98728E-02,8.72711E+00,1.54492E+01
-5.98716E-02,8.72711E+00,1.54102E+01
-5.98704E-02,8.66852E+00,1.54492E+01
-5.98692E-02,8.70758E+00,1.54102E+01
-5.98680E-02,8.72711E+00,1.53711E+01
-5.98668E-02,8.72711E+00,1.53320E+01
-5.98656E-02,8.60992E+00,1.52930E+01
-5.98644E-02,8.74664E+00,1.54102E+01
-5.98632E-02,8.72711E+00,1.53711E+01
-5.98620E-02,8.74664E+00,1.53320E+01
-5.98608E-02,8.70758E+00,1.53711E+01
-5.98596E-02,8.62945E+00,1.53711E+01
-5.98584E-02,8.72711E+00,1.52930E+01
-5.98572E-02,8.78570E+00,1.53320E+01
-5.98560E-02,8.74664E+00,1.53711E+01
-5.98548E-02,8.74664E+00,1.53711E+01
-5.98536E-02,8.76617E+00,1.53711E+01
-5.98524E-02,8.70758E+00,1.52930E+01
-5.98512E-02,8.70758E+00,1.54102E+01
-5.98500E-02,8.74664E+00,1.54102E+01
-5.98488E-02,8.72711E+00,1.54102E+01
-5.98476E-02,8.72711E+00,1.54102E+01
-5.98464E-02,8.72711E+00,1.54102E+01
-5.98452E-02,8.72711E+00,1.54102E+01
-5.98440E-02,8.68805E+00,1.54102E+01
-5.98428E-02,8.66852E+00,1.54492E+01
-5.98416E-02,8.72711E+00,1.54102E+01
-5.98404E-02,8.72711E+00,1.55273E+01
-5.98392E-02,8.76617E+00,1.54102E+01
-5.98380E-02,8.84430E+00,1.53711E+01
-5.98368E-02,8.74664E+00,1.54102E+01
-5.98356E-02,8.68805E+00,1.54883E+01
-5.98344E-02,8.70758E+00,1.54102E+01
-5.98332E-02,8.72711E+00,1.54492E+01
-5.98320E-02,8.70758E+00,1.54492E+01
-5.98308E-02,8.72711E+00,1.54492E+01
-5.98296E-02,8.68805E+00,1.52930E+01
-5.98284E-02,8.74664E+00,1.53711E+01
-5.98272E-02,8.68805E+00,1.54102E+01
-5.98260E-02,8.70758E+00,1.53711E+01
-5.98248E-02,8.74664E+00,1.53320E+01
-5.98236E-02,8.74664E+00,1.54102E+01
-5.98224E-02,8.66852E+00,1.54102E+01
-5.98212E-02,8.66852E+00,1.52930E+01
-5.98200E-02,8.74664E+00,1.52930E+01
-5.98188E-02,8.72711E+00,1.54492E+01
-5.98176E-02,8.72711E+00,1.54102E+01
-5.98164E-02,8.74664E+00,1.53320E+01
-5.98152E-02,8.76617E+00,1.54102E+01
-5.98140E-02,8.68805E+00,1.55273E+01
-5.98128E-02,8.74664E+00,1.54492E+01
-5.98116E-02,8.66852E+00,1.53320E+01
-5.98104E-02,8.72711E+00,1.54102E+01
-5.98092E-02,8.70758E+00,1.55273E+01
-5.98080E-02,8.70758E+00,1.55664E+01
-5.98068E-02,8.76617E+00,1.54102E+01
-5.98056E-02,8.74664E+00,1.54492E+01
-5.98044E-02,8.74664E+00,1.54883E+01
-5.98032E-02,8.76617E+00,1.54492E+01
-5.98020E-02,8.72711E+00,1.54102E+01
-5.98008E-02,8.72711E+00,1.54492E+01
-5.97996E-02,8.78570E+00,1.54492E+01
-5.97984E-02,8.66852E+00,1.54102E+01
-5.97972E-02,8.74664E+00,1.54883E+01
-5.97960E-02,8.70758E+00,1.53711E+01
-5.97948E-02,8.72711E+00,1.54492E+01
-5.97936E-02,8.72711E+00,1.54883E+01
-5.97924E-02,8.72711E+00,1.54102E+01
-5.97912E-02,8.74664E+00,1.54102E+01
-5.97900E-02,8.74664E+00,1.54102E+01
-5.97888E-02,8.68805E+00,1.54492E+01
-5.97876E-02,8.74664E+00,1.54102E+01
-5.97864E-02,8.72711E+00,1.55273E+01
-5.97852E-02,8.78570E+00,1.54102E+01
-5.97840E-02,8.78570E+00,1.54102E+01
-5.97828E-02,8.66852E+00,1.54102E+01
-5.97816E-02,8.76617E+00,1.54883E+01
-5.97804E-02,8.72711E+00,1.54492E+01
-5.97792E-02,8.78570E+00,1.55664E+01
-5.97780E-02,8.70758E+00,1.54102E+01
-5.97768E-02,8.78570E+00,1.54492E+01
-5.97756E-02,8.82477E+00,1.54102E+01
-5.97744E-02,8.76617E+00,1.54102E+01
-5.97732E-02,8.72711E+00,1.54883E+01
-5.97720E-02,8.74664E+00,1.54492E+01
-5.97708E-02,8.72711E+00,1.54492E+01
-5.97696E-02,8.74664E+00,1.54102E+01
-5.97684E-02,8.72711E+00,1.54102E+01
-5.97672E-02,8.74664E+00,1.54883E+01
-5.97660E-02,8.80523E+00,1.54492E+01
-5.97648E-02,8.76617E+00,1.55664E+01
-5.97636E-02,8.70758E+00,1.55273E+01
-5.97624E-02,8.68805E+00,1.54102E+01
-5.97612E-02,8.78570E+00,1.54883E+01
-5.97600E-02,8.76617E+00,1.55664E+01
-5.97588E-02,8.74664E+00,1.54102E+01
-5.97576E-02,8.76617E+00,1.54102E+01
-5.97564E-02,8.82477E+00,1.54492E+01
-5.97552E-02,8.78570E+00,1.54102E+01
-5.97540E-02,8.72711E+00,1.52930E+01
-5.97528E-02,8.74664E+00,1.54492E+01
-5.97516E-02,8.70758E+00,1.54883E+01
-5.97504E-02,8.72711E+00,1.54102E+01
-5.97492E-02,8.72711E+00,1.53711E+01
-5.97480E-02,8.74664E+00,1.54883E+01
-5.97468E-02,8.74664E+00,1.54102E+01
-5.97456E-02,8.76617E+00,1.54492E+01
-5.97444E-02,8.78570E+00,1.53320E+01
-5.97432E-02,8.74664E+00,1.54883E+01
-5.97420E-02,8.84430E+00,1.54102E+01
-5.97408E-02,8.78570E+00,1.54102E+01
-5.97396E-02,8.76617E+00,1.55273E+01
-5.97384E-02,8.78570E+00,1.54492E+01
-5.97372E-02,8.78570E+00,1.54492E+01
-5.97360E-02,8.78570E+00,1.54883E+01
-5.97348E-02,8.78570E+00,1.55664E+01
-5.97336E-02,8.78570E+00,1.54883E+01
-5.97324E-02,8.72711E+00,1.54492E+01
-5.97312E-02,8.72711E+00,1.54492E+01
-5.97300E-02,8.80523E+00,1.54102E+01
-5.97288E-02,8.82477E+00,1.54883E+01
