in s,C1 in V,C2 in V
-2.400000E+00,7.55523E+00,8.41797E+00
-2.399952E+00,7.53570E+00,8.41797E+00
-2.399904E+00,7.55523E+00,8.49609E+00
-2.399856E+00,7.49664E+00,8.26172E+00
-2.399808E+00,7.51617E+00,8.26172E+00
-2.399760E+00,7.51617E+00,8.37891E+00
-2.399712E+00,7.59430E+00,8.37891E+00
-2.399664E+00,7.49664E+00,8.30078E+00
-2.399616E+00,7.57477E+00,8.30078E+00
-2.399568E+00,7.53570E+00,8.14453E+00
-2.399520E+00,7.57477E+00,8.30078E+00
-2.399472E+00,7.45758E+00,8.37891E+00
-2.399424E+00,7.45758E+00,8.37891E+00
-2.399376E+00,7.51617E+00,8.37891E+00
-2.399328E+00,7.61383E+00,8.33984E+00
-2.399280E+00,7.57477E+00,8.30078E+00
-2.399232E+00,7.59430E+00,8.33984E+00
-2.399184E+00,7.51617E+00,8.37891E+00
-2.399136E+00,7.55523E+00,8.33984E+00
-2.399088E+00,7.55523E+00,8.26172E+00
-2.399040E+00,7.55523E+00,8.41797E+00
-2.398992E+00,7.53570E+00,8.37891E+00
-2.398944E+00,7.55523E+00,8.41797E+00
-2.398896E+00,7.57477E+00,8.41797E+00
-2.398848E+00,7.53570E+00,8.37891E+00
-2.398800E+00,7.43805E+00,8.41797E+00
-2.398752E+00,7.65289E+00,8.45703E+00
-2.398704E+00,7.57477E+00,8.41797E+00
-2.398656E+00,7.49664E+00,8.37891E+00
-2.398608E+00,7.43805E+00,8.37891E+00
-2.398560E+00,7.53570E+00,8.41797E+00
-2.398512E+00,7.45758E+00,8.53516E+00
-2.398464E+00,7.53570E+00,8.41797E+00
-2.398416E+00,7.51617E+00,8.41797E+00
-2.398368E+00,7.49664E+00,8.53516E+00
-2.398320E+00,7.49664E+00,8.41797E+00
-2.398272E+00,7.51617E+00,8.45703E+00
-2.398224E+00,7.55523E+00,8.53516E+00
-2.398176E+00,7.55523E+00,8.45703E+00
-2.398128E+00,7.49664E+00,8.57422E+00
-2.398080E+00,7.55523E+00,8.57422E+00
-2.398032E+00,7.51617E+00,8.53516E+00
-2.397984E+00,7.59430E+00,8.45703E+00
-2.397936E+00,7.51617E+00,8.45703E+00
-2.397888E+00,7.45758E+00,8.61328E+00
-2.397840E+00,7.53570E+00,8.65234E+00
-2.397792E+00,7.53570E+00,8.53516E+00
-2.397744E+00,7.55523E+00,8.65234E+00
-2.397696E+00,7.55523E+00,8.53516E+00
-2.397648E+00,7.49664E+00,8.45703E+00
-2.397600E+00,7.55523E+00,8.57422E+00
-2.397552E+00,7.47711E+00,8.69141E+00
-2.397504E+00,7.49664E+00,8.69141E+00
-2.397456E+00,7.51617E+00,8.65234E+00
-2.397408E+00,7.51617E+00,8.61328E+00
-2.397360E+00,7.51617E+00,8.65234E+00
-2.397312E+00,7.53570E+00,8.69141E+00
-2.397264E+00,7.43805E+00,8.61328E+00
-2.397216E+00,7.49664E+00,8.69141E+00
-2.397168E+00,7.53570E+00,8.61328E+00
-2.397120E+00,7.45758E+00,8.69141E+00
-2.397072E+00,7.51617E+00,8.76953E+00
-2.397024E+00,7.57477E+00,8.80859E+00
-2.396976E+00,7.51617E+00,8.80859E+00
-2.396928E+00,7.51617E+00,8.76953E+00
-2.396880E+00,7.53570E+00,8.69141E+00
-2.396832E+00,7.49664E+00,8.80859E+00
-2.396784E+00,7.53570E+00,8.69141E+00
-2.396736E+00,7.65289E+00,8.69141E+00
-2.396688E+00,7.49664E+00,8.80859E+00
-2.396640E+00,7.57477E+00,8.84766E+00
-2.396592E+00,7.53570E+00,8.61328E+00
-2.396544E+00,7.57477E+00,8.80859E+00
-2.396496E+00,7.53570E+00,8.88672E+00
-2.396448E+00,7.51617E+00,8.88672E+00
-2.396400E+00,7.57477E+00,8.76953E+00
-2.396352E+00,7.47711E+00,8.80859E+00
