in s,C1 in V,C2 in V
-9.000000E-02,1.16568E+01,1.47852E+01
-8.999820E-02,1.15982E+01,1.46289E+01
-8.999640E-02,1.16373E+01,1.46289E+01
-8.999460E-02,1.16373E+01,1.47461E+01
-8.999280E-02,1.16568E+01,1.47461E+01
-8.999100E-02,1.15396E+01,1.47070E+01
-8.998920E-02,1.16959E+01,1.47852E+01
-8.998740E-02,1.16373E+01,1.47852E+01
-8.998560E-02,1.16373E+01,1.46680E+01
-8.998380E-02,1.15787E+01,1.46680E+01
-8.998200E-02,1.16373E+01,1.47461E+01
-8.998020E-02,1.16177E+01,1.46680E+01
-8.997840E-02,1.16373E+01,1.47070E+01
-8.997660E-02,1.16373E+01,1.47070E+01
-8.997480E-02,1.16763E+01,1.48633E+01
-8.997300E-02,1.16568E+01,1.49414E+01
-8.997120E-02,1.16568E+01,1.47461E+01
-8.996940E-02,1.16959E+01,1.46680E+01
-8.996760E-02,1.16763E+01,1.46289E+01
-8.996580E-02,1.15982E+01,1.47070E+01
-8.996400E-02,1.16373E+01,1.47070E+01
-8.996220E-02,1.16373E+01,1.47070E+01
-8.996040E-02,1.16568E+01,1.46289E+01
-8.995860E-02,1.15982E+01,1.46289E+01
-8.995680E-02,1.16763E+01,1.45508E+01
-8.995500E-02,1.16568E+01,1.46680E+01
-8.995320E-02,1.16568E+01,1.46289E+01
-8.995140E-02,1.16568E+01,1.47070E+01
-8.994960E-02,1.16959E+01,1.46680E+01
-8.994780E-02,1.16763E+01,1.45898E+01
-8.994600E-02,1.16763E+01,1.46680E+01
-8.994420E-02,1.16568E+01,1.47070E+01
-8.994240E-02,1.16959E+01,1.47461E+01
-8.994060E-02,1.15982E+01,1.47461E+01
-8.993880E-02,1.16177E+01,1.47461E+01
-8.993700E-02,1.16568E+01,1.47461E+01
-8.993520E-02,1.16568E+01,1.47070E+01
-8.993340E-02,1.16763E+01,1.44336E+01
-8.993160E-02,1.17154E+01,1.44727E+01
-8.992980E-02,1.16373E+01,1.44336E+01
-8.992800E-02,1.17154E+01,1.44727E+01
-8.992620E-02,1.15982E+01,1.44336E+01
-8.992440E-02,1.16568E+01,1.43164E+01
-8.992260E-02,1.16568E+01,1.45117E+01
-8.992080E-02,1.17349E+01,1.45898E+01
-8.991900E-02,1.16373E+01,1.49414E+01
-8.991720E-02,1.16568E+01,1.50195E+01
